,timestamp,dim,task_name,data_lim,vocab_size,princip_comp,pca_var,pca_pearsonr,pca_pearsonp,vocab_min,vocab_min_scores,vocab_max,vocab_max_scores,random_vocab,id,notes
0,1653906836.905811,3,distress,5000,10,0,0.3082250952720642,0.3108476172269402,0.3108476172269402,guess;hack;chime;interest;except;sort;reason;well;stuff;use,1.05549069686362;1.05883270118414;1.06075113799987;1.07468670487951;1.09226115405961;1.10965570859975;1.13866035355703;1.14269635205938;1.14522945508256;1.16195525391104,mistreat;malnourish;assault;distress;kill;screech;murder;compass;rape;slaughter,6.31178414562011;6.01796802838039;6.01273732117985;6.00846699078174;5.95793654260942;5.9534384145839;5.91287890035859;5.87626312442102;5.8375670680054;5.83686787143775,,,
1,1653906836.905811,3,distress,5000,10,1,0.1314389556646347,0.0341557803233848,0.0341557803233848,guess;hack;chime;interest;except;sort;reason;well;stuff;use,1.05549069686362;1.05883270118414;1.06075113799987;1.07468670487951;1.09226115405961;1.10965570859975;1.13866035355703;1.14269635205938;1.14522945508256;1.16195525391104,mistreat;malnourish;assault;distress;kill;screech;murder;compass;rape;slaughter,6.31178414562011;6.01796802838039;6.01273732117985;6.00846699078174;5.95793654260942;5.9534384145839;5.91287890035859;5.87626312442102;5.8375670680054;5.83686787143775,,,
2,1653906836.905811,3,distress,5000,10,2,0.101153090596199,-0.0236807298610856,-0.0236807298610856,guess;hack;chime;interest;except;sort;reason;well;stuff;use,1.05549069686362;1.05883270118414;1.06075113799987;1.07468670487951;1.09226115405961;1.10965570859975;1.13866035355703;1.14269635205938;1.14522945508256;1.16195525391104,mistreat;malnourish;assault;distress;kill;screech;murder;compass;rape;slaughter,6.31178414562011;6.01796802838039;6.01273732117985;6.00846699078174;5.95793654260942;5.9534384145839;5.91287890035859;5.87626312442102;5.8375670680054;5.83686787143775,,,
0,1653907061.131677,3,empathy,5000,10,0,0.2169950753450393,0.0977509226862257,0.0977509226862257,joke;pretend;fart;fool;gag;except;trade;fake;clown;bother,1.09719309808247;1.10592706513712;1.10835499265131;1.10935816166989;1.11046663620353;1.11331137250805;1.11520438106863;1.11851354344769;1.12048360110033;1.12801179613834,heal;sorrow;wound;scar;suffer;blister;journey;distress;paw;orphan,6.59682135519217;6.29975746152872;6.26800297870321;6.24885091361918;6.1505929167545;6.11600507743997;6.09953430340699;6.01295852766901;6.00568957560504;5.99464312155182,,,
1,1653907061.131677,3,empathy,5000,10,1,0.1658437550067901,0.2401540815120902,0.2401540815120902,joke;pretend;fart;fool;gag;except;trade;fake;clown;bother,1.09719309808247;1.10592706513712;1.10835499265131;1.10935816166989;1.11046663620353;1.11331137250805;1.11520438106863;1.11851354344769;1.12048360110033;1.12801179613834,heal;sorrow;wound;scar;suffer;blister;journey;distress;paw;orphan,6.59682135519217;6.29975746152872;6.26800297870321;6.24885091361918;6.1505929167545;6.11600507743997;6.09953430340699;6.01295852766901;6.00568957560504;5.99464312155182,,,
2,1653907061.131677,3,empathy,5000,10,2,0.0897259712219238,0.0437789608877737,0.0437789608877737,joke;pretend;fart;fool;gag;except;trade;fake;clown;bother,1.09719309808247;1.10592706513712;1.10835499265131;1.10935816166989;1.11046663620353;1.11331137250805;1.11520438106863;1.11851354344769;1.12048360110033;1.12801179613834,heal;sorrow;wound;scar;suffer;blister;journey;distress;paw;orphan,6.59682135519217;6.29975746152872;6.26800297870321;6.24885091361918;6.1505929167545;6.11600507743997;6.09953430340699;6.01295852766901;6.00568957560504;5.99464312155182,,,
0,1653907281.710667,3,distress,5000,20,0,0.265652596950531,-0.2986223778386222,-0.2986223778386222,guess;hack;chime;interest;except;sort;reason;well;stuff;use;fine;gripe;quit;mention;like;exist;lot;function;entertain;gear,1.05549069686362;1.05883270118414;1.06075113799987;1.07468670487951;1.09226115405961;1.10965570859975;1.13866035355703;1.14269635205938;1.14522945508256;1.16195525391104;1.17398934681546;1.17744068559218;1.18180388701591;1.18348276872414;1.19375205377829;1.19631329771259;1.19699432403586;1.2010073370626;1.20496087678778;1.2133506293347,mistreat;malnourish;assault;distress;kill;screech;murder;compass;rape;slaughter;sicken;suffer;maim;scream;toll;stab;bomb;yell;condemn;hurt,6.31178414562011;6.01796802838039;6.01273732117985;6.00846699078174;5.95793654260942;5.9534384145839;5.91287890035859;5.87626312442102;5.8375670680054;5.83686787143775;5.83072168659309;5.72725398681266;5.71455064208107;5.71268432200352;5.69054144029586;5.67829981346377;5.65960385918885;5.63937711308012;5.63402665206257;5.59511894373463,,,
1,1653907281.710667,3,distress,5000,20,1,0.1246785670518875,-0.0167701287092123,-0.0167701287092123,guess;hack;chime;interest;except;sort;reason;well;stuff;use;fine;gripe;quit;mention;like;exist;lot;function;entertain;gear,1.05549069686362;1.05883270118414;1.06075113799987;1.07468670487951;1.09226115405961;1.10965570859975;1.13866035355703;1.14269635205938;1.14522945508256;1.16195525391104;1.17398934681546;1.17744068559218;1.18180388701591;1.18348276872414;1.19375205377829;1.19631329771259;1.19699432403586;1.2010073370626;1.20496087678778;1.2133506293347,mistreat;malnourish;assault;distress;kill;screech;murder;compass;rape;slaughter;sicken;suffer;maim;scream;toll;stab;bomb;yell;condemn;hurt,6.31178414562011;6.01796802838039;6.01273732117985;6.00846699078174;5.95793654260942;5.9534384145839;5.91287890035859;5.87626312442102;5.8375670680054;5.83686787143775;5.83072168659309;5.72725398681266;5.71455064208107;5.71268432200352;5.69054144029586;5.67829981346377;5.65960385918885;5.63937711308012;5.63402665206257;5.59511894373463,,,
2,1653907281.710667,3,distress,5000,20,2,0.0853722244501113,0.0120679219256153,0.0120679219256153,guess;hack;chime;interest;except;sort;reason;well;stuff;use;fine;gripe;quit;mention;like;exist;lot;function;entertain;gear,1.05549069686362;1.05883270118414;1.06075113799987;1.07468670487951;1.09226115405961;1.10965570859975;1.13866035355703;1.14269635205938;1.14522945508256;1.16195525391104;1.17398934681546;1.17744068559218;1.18180388701591;1.18348276872414;1.19375205377829;1.19631329771259;1.19699432403586;1.2010073370626;1.20496087678778;1.2133506293347,mistreat;malnourish;assault;distress;kill;screech;murder;compass;rape;slaughter;sicken;suffer;maim;scream;toll;stab;bomb;yell;condemn;hurt,6.31178414562011;6.01796802838039;6.01273732117985;6.00846699078174;5.95793654260942;5.9534384145839;5.91287890035859;5.87626312442102;5.8375670680054;5.83686787143775;5.83072168659309;5.72725398681266;5.71455064208107;5.71268432200352;5.69054144029586;5.67829981346377;5.65960385918885;5.63937711308012;5.63402665206257;5.59511894373463,,,
0,1653908263.162249,3,empathy,5000,20,0,0.217219278216362,0.143312454422904,0.143312454422904,joke;pretend;fart;fool;gag;except;trade;fake;clown;bother;annoy;embarrass;hack;doubt;guess;flop;bunch;dare;laps;pose,1.09719309808247;1.10592706513712;1.10835499265131;1.10935816166989;1.11046663620353;1.11331137250805;1.11520438106863;1.11851354344769;1.12048360110033;1.12801179613834;1.14391958142196;1.14887363276779;1.15875346716977;1.16721938695134;1.17586902799098;1.19083651989832;1.19390038841652;1.19459232588743;1.20414989287658;1.2066363333623,heal;sorrow;wound;scar;suffer;blister;journey;distress;paw;orphan;compass;plight;sick;fell;pain;tear;ray;belong;charter;digest,6.59682135519217;6.29975746152872;6.26800297870321;6.24885091361918;6.1505929167545;6.11600507743997;6.09953430340699;6.01295852766901;6.00568957560504;5.99464312155182;5.9703408617111;5.93584845685161;5.91709162794753;5.90987085109889;5.86464454747173;5.84730445711719;5.83948010383864;5.82455868681701;5.81486546560715;5.81318858235361,,,
