,epoch,avrg_dev_loss,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved,fold
0,0,0.08961791848694836,0.32861855363593984,0.36702433830025843,0.10052928540890461,29.21749520301819,1.0,0
1,1,0.07872309094225918,0.49343212622204125,0.7259724277079403,0.07358009211510141,29.728715658187866,0.0,0
2,2,0.0783742013628836,0.5094101952074755,0.7993341547353511,0.05143580611830003,30.012086153030396,0.0,0
0,0,0.08103351584739155,0.5040344734666073,0.553285778671015,0.11435437390458918,30.281296014785767,1.0,1
1,1,0.10183579709242892,0.5541797467705011,0.7092357179143096,0.07808255358973396,30.38801383972168,0.0,1
2,2,0.07329881660364292,0.5665408616702626,0.8024175660593089,0.05285292792473441,30.595113039016724,0.0,1
0,0,0.08365110128566071,0.41851078356977445,0.5100892949704801,0.10780616494539742,30.47418236732483,1.0,2
1,1,0.07222088164201489,0.5194755021842861,0.685995397614069,0.08050446774566843,30.528353691101074,0.0,2
2,2,0.07476888803972138,0.5325725787847579,0.7630352089375232,0.05637161407584899,30.615540742874146,0.0,2
0,0,0.09203020290092186,0.3669657119606532,0.47439629788635296,0.10678017699969149,30.510681867599487,1.0,3
1,1,0.08830420500426381,0.4798437696742501,0.6708272181892404,0.07563028944151423,30.59757685661316,0.0,3
2,2,0.0825067453638271,0.5025883697570719,0.796589619114766,0.05067395777485081,30.605430364608765,0.0,3
0,0,0.38609032332897186,,,0.3719741295431262,30.242774963378906,1.0,4
1,1,0.12689051942692864,0.34384985027811277,0.29861127118607705,0.27940822204696797,30.384414672851562,0.0,4
2,2,0.09114697037471665,0.37490690174535846,0.420269928365295,0.09725292942652078,30.660279512405396,0.0,4
0,0.0,0.14648461236997887,,,0.16028882616034176,30.145286083221436,1.0,-1
1,1.0,0.09359489882157909,0.4781561990258383,0.6181284065223273,0.1174411249877972,30.32541494369507,0.0,-1
2,2.0,0.08001912434895833,0.4972037814329854,0.7163292954424489,0.061717447064051,30.497689962387085,0.0,-1
