,epoch,avrg_dev_loss,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved,fold,bert_param_size,head_param_size
0,0,0.10035242140293121,0.2597764147742662,0.19073348113008434,0.10987901889553695,22.727121829986572,0.0,0,22493984.0,77921.0
1,1,0.0985348406765196,0.283577144497728,0.3032396394945086,0.10202438220660263,23.079410791397095,0.0,0,22493984.0,77921.0
2,2,0.10120528191328049,0.3462764197395926,0.37725224843884075,0.10093068143474722,23.333516120910645,0.0,0,22493984.0,77921.0
3,3,0.10301592297576091,0.25758108091156534,0.4082943104962319,0.0977746386463954,23.62493133544922,0.0,0,22493984.0,77921.0
4,4,0.08942697183401496,0.3405783600040781,0.5104300089536062,0.08603416686163884,23.881694555282593,0.0,0,22493984.0,77921.0
5,5,0.08445250822438134,0.40798085614453966,0.5691492545166488,0.07919382608591397,23.889851808547974,0.0,0,22493984.0,77921.0
6,6,0.08533926183978717,0.4039953593278115,0.5891303583857863,0.07537948893748711,23.98725175857544,0.0,0,22493984.0,77921.0
7,7,0.08725801606973012,0.4252675996141448,0.6196430734892304,0.06936762609005531,24.060176372528076,0.0,0,22493984.0,77921.0
8,8,0.08746860245311702,0.4139308604009132,0.6495529591424396,0.06544831219329456,24.125850200653076,0.0,0,22493984.0,77921.0
9,9,0.08964402228593826,0.4155080401799534,0.6581530429835812,0.06180283423756885,24.122122526168823,1.0,0,22493984.0,77921.0
0,0,0.09625376333241109,0.293821254297519,0.2864826700079972,0.11062758865061208,24.027059316635132,0.0,1,22493984.0,77921.0
1,1,0.09472704871937081,0.31625727740378246,0.3649110541188396,0.09970543140145106,24.13663411140442,0.0,1,22493984.0,77921.0
2,2,0.07940162883864509,0.467383283740482,0.4893881133588876,0.09168274018252007,24.178792476654053,0.0,1,22493984.0,77921.0
3,3,0.07442259705728954,0.4844379562352359,0.5333520070714527,0.08791811290745423,24.201965808868408,0.0,1,22493984.0,77921.0
4,4,0.07144078543340718,0.5038310550466881,0.5910010351031993,0.07934184431611935,24.197474718093872,0.0,1,22493984.0,77921.0
5,5,0.07722507072267709,0.5055031104042722,0.6256782425144878,0.07189685684219699,24.222742557525635,0.0,1,22493984.0,77921.0
6,6,0.0795232669484836,0.5075342324161382,0.6721207147018917,0.06674630525652493,24.20746946334839,0.0,1,22493984.0,77921.0
7,7,0.0721269346497677,0.5118174388907673,0.7170997404066113,0.059795964265538154,24.221760034561157,0.0,1,22493984.0,77921.0
8,8,0.07346420210820657,0.5163677168205523,0.7389781653765003,0.05401826319154178,24.23782730102539,0.0,1,22493984.0,77921.0
9,9,0.07380084569255511,0.5145690740868347,0.7467184820321557,0.05119249562376013,24.23018980026245,1.0,1,22493984.0,77921.0
0,0,0.09892621829553887,0.11968349199184733,0.11207882721033872,0.10302154848648008,24.1011643409729,0.0,2,22493984.0,77921.0
1,1,0.10029337817320118,0.1197695827500344,0.11480751250423163,0.10291155441620639,24.206626892089844,0.0,2,22493984.0,77921.0
2,2,0.09732805992718097,0.12051348731053507,0.11667964395343183,0.10144343707606057,24.21298909187317,0.0,2,22493984.0,77921.0
3,3,0.09833277458394016,0.12250399344232024,0.11889714321693931,0.1008163598653312,24.226539373397827,0.0,2,22493984.0,77921.0
4,4,0.09953152871242275,0.12374599998399427,0.12052256520047142,0.10109095369404722,24.22989559173584,0.0,2,22493984.0,77921.0
5,5,0.09742115989879326,0.12336226735558928,0.12093706853483632,0.10135322412319273,24.22157096862793,0.0,2,22493984.0,77921.0
6,6,0.09748884856149002,0.12396977464643674,0.12065824302846909,0.10082913106568506,24.228656768798828,0.0,2,22493984.0,77921.0
7,7,0.09700584825542238,0.1258045760536465,0.12279210511735295,0.10056131253036384,24.242969512939453,0.0,2,22493984.0,77921.0
8,8,0.09775375767990395,0.12652964653566265,0.12276735385607625,0.10026561009271123,24.257774353027344,0.0,2,22493984.0,77921.0
9,9,0.09783002706589522,0.12694278009841548,0.12332862645622387,0.09984240743601433,24.24558401107788,1.0,2,22493984.0,77921.0
0,0,0.10912108862841571,0.17813788391582092,0.24660201616325367,0.12736693860214449,24.167161464691162,0.0,3,22493984.0,77921.0
1,1,0.10360678588902508,0.07089107731104453,0.08179864086076412,0.09987709984601101,24.277206897735596,0.0,3,22493984.0,77921.0
2,2,0.09493997472303885,0.4523321700303605,0.5098266031759736,0.09015924863029863,24.298070669174194,0.0,3,22493984.0,77921.0
3,3,0.08160840623356679,0.468048235604482,0.5702714671866328,0.08232720871673566,24.298534631729126,0.0,3,22493984.0,77921.0
4,4,0.07972654382939692,0.48651052315117055,0.6392682623944055,0.07072295718521715,24.294745922088623,0.0,3,22493984.0,77921.0
5,5,0.07999116954980073,0.5029528888173684,0.6811141608432085,0.06515712538194433,24.290712356567383,0.0,3,22493984.0,77921.0
6,6,0.08723502633748231,0.4780683716510085,0.7238531078839856,0.057974857582806426,24.29610013961792,0.0,3,22493984.0,77921.0
7,7,0.08184339271651374,0.4829791628100813,0.7700790822872794,0.05209721764114415,24.301615238189697,0.0,3,22493984.0,77921.0
8,8,0.08922261027274309,0.4835741746351717,0.7901717948184176,0.04506267763883154,24.300779104232788,0.0,3,22493984.0,77921.0
9,9,0.08615605305466387,0.48059832836487953,0.8013859738624065,0.040999938168119046,24.301894187927246,1.0,3,22493984.0,77921.0
0,0,0.10357233054108089,0.31932859418418563,0.37008232996399026,0.10569821719393552,24.18996024131775,0.0,4,22493984.0,77921.0
1,1,0.10485551119954498,0.20451862150269445,0.20282227074075235,0.09881298223110004,24.278972864151,0.0,4,22493984.0,77921.0
2,2,0.09292301756364328,0.3675017479538087,0.45701668738410645,0.08876565150986208,24.299211263656616,0.0,4,22493984.0,77921.0
3,3,0.09112836820659814,0.3810821373060322,0.517834340404131,0.08378558623317246,24.31628394126892,0.0,4,22493984.0,77921.0
4,4,0.09268884388384996,0.36775796224450646,0.5561756894767508,0.07685073336290422,24.30888795852661,0.0,4,22493984.0,77921.0
5,5,0.09588270620615394,0.36518842832350984,0.6004818982676262,0.07263558859301504,24.3078293800354,0.0,4,22493984.0,77921.0
6,6,0.09530285552695945,0.3628428436727442,0.660181900607842,0.06430523560565209,24.31800651550293,0.0,4,22493984.0,77921.0
7,7,0.10127196654125496,0.35774952994915,0.6894031699624793,0.06103852753327272,24.321507215499878,0.0,4,22493984.0,77921.0
8,8,0.10493120275161884,0.34902124512241384,0.703761103267559,0.05701060380751841,24.305145263671875,0.0,4,22493984.0,77921.0
9,9,0.10276628865136041,0.3576639865686979,0.712778820364492,0.053047863575064136,24.310593128204346,1.0,4,22493984.0,77921.0
0,0.0,0.10164516444007554,0.23414952783272783,0.24119586489513284,0.11131866236574184,23.8424934387207,0.0,-1,22493984.0,77921.0
1,1.0,0.10040351293153231,0.19900274069305673,0.21351582354381926,0.10066629002027423,23.995770311355592,0.0,-1,22493984.0,77921.0
2,2.0,0.09315959259315773,0.35080142175495577,0.39003265926224806,0.09459635176669771,24.064515924453737,0.0,-1,22493984.0,77921.0
3,3.0,0.0897016138114311,0.3427306806999271,0.4297298536750775,0.09052438127381779,24.1336510181427,0.0,-1,22493984.0,77921.0
4,4.0,0.08656293473861836,0.3644847800860875,0.48347951222568664,0.08280813108398535,24.18253974914551,0.0,-1,22493984.0,77921.0
5,5.0,0.08699452292036128,0.38099751020905587,0.5194721249353615,0.07804732420525262,24.186541414260866,0.0,-1,22493984.0,77921.0
6,6.0,0.08897785184284052,0.3752821163428278,0.5531888649215949,0.07304700368963113,24.207496929168702,0.0,-1,22493984.0,77921.0
7,7.0,0.08790123164653779,0.38072366146355796,0.5838034342525906,0.06857212961207484,24.229605674743652,0.0,-1,22493984.0,77921.0
8,8.0,0.0905680750531179,0.37788472870294276,0.6010462752921986,0.06436109338477951,24.245475244522094,0.0,-1,22493984.0,77921.0
9,9.0,0.09003944735008258,0.37905644185975623,0.608472989139772,0.061377107808105305,24.24207673072815,1.0,-1,22493984.0,77921.0
